data_name,method_name,sample_type,metric_name,metric_value,dissent_rate
synthetic100,spa,dissent,n_items_cnt,100.0,0.48
synthetic100,spa,dissent,missing_pairwise,0.0,0.48
synthetic100,spa,dissent,n_judges_cnt,100.0,0.48
synthetic100,spa,dissent,n_pairs_cnt,4950.0,0.48
synthetic100,spa,dissent,n_tiers_cnt,1.0,0.48
synthetic100,spa,dissent,n_abstentions_pairwise,4950.0,0.48
synthetic100,spa,dissent,n_items_with_ties_cnt,100.0,0.48
synthetic100,spa,dissent,n_items_in_top_tier_cnt,100.0,0.48
synthetic100,spa,dissent,runtime,3.5464768409729004,0.48
synthetic100,spa,dissent,min_runtime,0.0009312629699707031,0.48
synthetic100,spa,dissent,max_runtime,0.35582947731018066,0.48
synthetic100,spa,dissent,dissent_rate_dec,0.48,0.48
synthetic100,spa,dissent,disagreement_count,0.0,0.48
synthetic100,spa,dissent,total_disagreements_pairwise,0.0,0.48
synthetic100,spa,dissent,min_disagreement_per_judge_pairwise,0.0,0.48
synthetic100,spa,dissent,max_disagreement_per_judge_pairwise,0.0,0.48
synthetic100,spa,dissent,med_disagreement_per_judge_pairwise,0.0,0.48
synthetic100,spa,dissent,n_items_cnt,100.0,0.74
synthetic100,spa,dissent,missing_pairwise,0.0,0.74
synthetic100,spa,dissent,n_judges_cnt,100.0,0.74
synthetic100,spa,dissent,n_pairs_cnt,4950.0,0.74
synthetic100,spa,dissent,n_tiers_cnt,4.0,0.74
synthetic100,spa,dissent,n_abstentions_pairwise,4656.0,0.74
synthetic100,spa,dissent,n_items_with_ties_cnt,97.0,0.74
synthetic100,spa,dissent,n_items_in_top_tier_cnt,1.0,0.74
synthetic100,spa,dissent,runtime,3.5464768409729004,0.74
synthetic100,spa,dissent,min_runtime,0.0009312629699707031,0.74
synthetic100,spa,dissent,max_runtime,0.35582947731018066,0.74
synthetic100,spa,dissent,dissent_rate_dec,0.74,0.74
synthetic100,spa,dissent,disagreement_count,9852.0,0.74
synthetic100,spa,dissent,total_disagreements_pairwise,9852.0,0.74
synthetic100,spa,dissent,min_disagreement_per_judge_pairwise,72.0,0.74
synthetic100,spa,dissent,max_disagreement_per_judge_pairwise,117.0,0.74
synthetic100,spa,dissent,med_disagreement_per_judge_pairwise,98.0,0.74
synthetic100,spa,dissent,n_items_cnt,100.0,0.75
synthetic100,spa,dissent,missing_pairwise,0.0,0.75
synthetic100,spa,dissent,n_judges_cnt,100.0,0.75
synthetic100,spa,dissent,n_pairs_cnt,4950.0,0.75
synthetic100,spa,dissent,n_tiers_cnt,23.0,0.75
synthetic100,spa,dissent,n_abstentions_pairwise,3003.0,0.75
synthetic100,spa,dissent,n_items_with_ties_cnt,78.0,0.75
synthetic100,spa,dissent,n_items_in_top_tier_cnt,1.0,0.75
synthetic100,spa,dissent,runtime,3.5464768409729004,0.75
synthetic100,spa,dissent,min_runtime,0.0009312629699707031,0.75
synthetic100,spa,dissent,max_runtime,0.35582947731018066,0.75
synthetic100,spa,dissent,dissent_rate_dec,0.75,0.75
synthetic100,spa,dissent,disagreement_count,65443.0,0.75
synthetic100,spa,dissent,total_disagreements_pairwise,65443.0,0.75
synthetic100,spa,dissent,min_disagreement_per_judge_pairwise,595.0,0.75
synthetic100,spa,dissent,max_disagreement_per_judge_pairwise,710.0,0.75
synthetic100,spa,dissent,med_disagreement_per_judge_pairwise,655.5,0.75
synthetic100,spa,dissent,n_items_cnt,100.0,0.76
synthetic100,spa,dissent,missing_pairwise,0.0,0.76
synthetic100,spa,dissent,n_judges_cnt,100.0,0.76
synthetic100,spa,dissent,n_pairs_cnt,4950.0,0.76
synthetic100,spa,dissent,n_tiers_cnt,65.0,0.76
synthetic100,spa,dissent,n_abstentions_pairwise,480.0,0.76
synthetic100,spa,dissent,n_items_with_ties_cnt,37.0,0.76
synthetic100,spa,dissent,n_items_in_top_tier_cnt,1.0,0.76
synthetic100,spa,dissent,runtime,3.5464768409729004,0.76
synthetic100,spa,dissent,min_runtime,0.0009312629699707031,0.76
synthetic100,spa,dissent,max_runtime,0.35582947731018066,0.76
synthetic100,spa,dissent,dissent_rate_dec,0.76,0.76
synthetic100,spa,dissent,disagreement_count,150071.0,0.76
synthetic100,spa,dissent,total_disagreements_pairwise,150071.0,0.76
synthetic100,spa,dissent,min_disagreement_per_judge_pairwise,1426.0,0.76
synthetic100,spa,dissent,max_disagreement_per_judge_pairwise,1600.0,0.76
synthetic100,spa,dissent,med_disagreement_per_judge_pairwise,1498.0,0.76
synthetic100,spa,dissent,n_items_cnt,100.0,0.77
synthetic100,spa,dissent,missing_pairwise,0.0,0.77
synthetic100,spa,dissent,n_judges_cnt,100.0,0.77
synthetic100,spa,dissent,n_pairs_cnt,4950.0,0.77
synthetic100,spa,dissent,n_tiers_cnt,100.0,0.77
synthetic100,spa,dissent,n_abstentions_pairwise,0.0,0.77
synthetic100,spa,dissent,n_items_with_ties_cnt,0.0,0.77
synthetic100,spa,dissent,n_items_in_top_tier_cnt,1.0,0.77
synthetic100,spa,dissent,runtime,3.5464768409729004,0.77
synthetic100,spa,dissent,min_runtime,0.0009312629699707031,0.77
synthetic100,spa,dissent,max_runtime,0.35582947731018066,0.77
synthetic100,spa,dissent,dissent_rate_dec,0.77,0.77
synthetic100,spa,dissent,disagreement_count,165661.0,0.77
synthetic100,spa,dissent,total_disagreements_pairwise,165661.0,0.77
synthetic100,spa,dissent,min_disagreement_per_judge_pairwise,1580.0,0.77
synthetic100,spa,dissent,max_disagreement_per_judge_pairwise,1761.0,0.77
synthetic100,spa,dissent,med_disagreement_per_judge_pairwise,1657.5,0.77
